               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.092473,             0.07953,                   0,            0.024422,             0.14706,            0.012813,           0.0040189,             0.10263,             0.16924,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,            0.093209,            0.077599,                   0,            0.024422,             0.14706,            0.012813,           0.0040189,             0.10263,             0.16924,                   0,            0.009307,            0.009307,            0.009307
                  72,            0.094588,            0.083614,                   0,            0.024422,             0.14706,            0.012813,           0.0040189,             0.10263,             0.16924,                   0,           0.0092971,           0.0092971,           0.0092971
                  73,            0.093362,            0.084815,                   0,            0.016904,             0.27941,            0.011799,           0.0041448,             0.10628,              0.2044,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,             0.09137,            0.083832,                   0,            0.016904,             0.27941,            0.011799,           0.0041448,             0.10628,              0.2044,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,            0.094265,            0.089643,                   0,            0.016904,             0.27941,            0.011799,           0.0041448,             0.10628,              0.2044,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.096515,            0.087721,                   0,            0.019127,             0.35294,            0.014216,           0.0045901,             0.10388,             0.14903,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,            0.090779,            0.096748,                   0,            0.019127,             0.35294,            0.014216,           0.0045901,             0.10388,             0.14903,                   0,           0.0092476,           0.0092476,           0.0092476
                  78,            0.095496,            0.094991,                   0,            0.019127,             0.35294,            0.014216,           0.0045901,             0.10388,             0.14903,                   0,           0.0092377,           0.0092377,           0.0092377
                  79,            0.096769,            0.090553,                   0,            0.026286,             0.23529,            0.017689,           0.0052409,            0.099321,             0.11747,                   0,           0.0092278,           0.0092278,           0.0092278
                  80,            0.091475,            0.085077,                   0,            0.026286,             0.23529,            0.017689,           0.0052409,            0.099321,             0.11747,                   0,           0.0092179,           0.0092179,           0.0092179
                  81,            0.093642,            0.086089,                   0,            0.026286,             0.23529,            0.017689,           0.0052409,            0.099321,             0.11747,                   0,            0.009208,            0.009208,            0.009208
                  82,            0.091776,            0.083926,                   0,            0.025314,             0.27941,            0.017288,            0.005333,             0.10195,             0.16393,                   0,           0.0091981,           0.0091981,           0.0091981
                  83,            0.089144,            0.097765,                   0,            0.025314,             0.27941,            0.017288,            0.005333,             0.10195,             0.16393,                   0,           0.0091882,           0.0091882,           0.0091882
